correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title	accuracy
0	1	228	rec	ATOMSKOM	3	492	1	subject-3.csv	PRIDEVI_C	95.6331877729
1	3	229	pseudorec	TIROKOJ	3	727	201	subject-3.csv	PRIDEVI_C	95.652173913
1	3	230	pseudorec	OTKENOJ	3	617	196	subject-3.csv	PRIDEVI_C	95.670995671
1	3	231	pseudorec	GILANOG	3	476	121	subject-3.csv	PRIDEVI_C	95.6896551724
1	3	20	pseudorec	LAPANOJ	3	655	197	subject-2.csv	PRIDEVI_B	100
1	3	21	pseudorec	TILBINOJ	3	690	210	subject-2.csv	PRIDEVI_B	100
1	3	22	pseudorec	PUMNOG	3	725	132	subject-2.csv	PRIDEVI_B	100
1	1	23	rec	NEBESKOM	1	660	45	subject-2.csv	PRIDEVI_B	100
1	3	24	pseudorec	FRKENOJ	3	543	206	subject-2.csv	PRIDEVI_B	100
0	1	25	rec	RANJENOG	3	523	71	subject-2.csv	PRIDEVI_B	96.1538461538
0	1	26	rec	ŠIROKOG	3	834	77	subject-2.csv	PRIDEVI_B	92.5925925926
1	3	27	pseudorec	URTIVOJ	3	645	199	subject-2.csv	PRIDEVI_B	92.8571428571
1	3	28	pseudorec	OTKENOJ	3	615	196	subject-2.csv	PRIDEVI_B	93.1034482759
1	1	29	rec	TUŽNOJ	1	530	94	subject-2.csv	PRIDEVI_B	93.3333333333
1	1	30	rec	DUBOKOJ	1	541	16	subject-2.csv	PRIDEVI_B	93.5483870968
1	3	31	pseudorec	RIJENOG	3	978	120	subject-2.csv	PRIDEVI_B	93.75
1	1	32	rec	SUROVOG	1	769	89	subject-2.csv	PRIDEVI_B	93.9393939394
1	3	33	pseudorec	DURAVOM	3	637	156	subject-2.csv	PRIDEVI_B	94.1176470588
1	1	34	rec	SLOBODNOM	1	571	81	subject-2.csv	PRIDEVI_B	94.2857142857
1	3	35	pseudorec	NETERNOJ	3	604	194	subject-2.csv	PRIDEVI_B	94.4444444444
1	3	36	pseudorec	OSKENOJ	3	598	198	subject-2.csv	PRIDEVI_B	94.5945945946
1	1	37	rec	PRIVREDNOJ	1	1083	67	subject-2.csv	PRIDEVI_B	94.7368421053
1	3	38	pseudorec	SIRANOG	3	750	129	subject-2.csv	PRIDEVI_B	94.8717948718
1	1	39	rec	LAŽNOG	1	629	32	subject-2.csv	PRIDEVI_B	95
0	1	40	rec	NEZNANOJ	None	1501	52	subject-2.csv	PRIDEVI_B	92.6829268293
1	1	41	rec	BESKRAJNOG	1	661	2	subject-2.csv	PRIDEVI_B	92.8571428571
1	1	42	rec	SVETSKOM	1	491	90	subject-2.csv	PRIDEVI_B	93.023255814
1	1	43	rec	MEKOJ	1	826	37	subject-2.csv	PRIDEVI_B	93.1818181818
1	1	44	rec	TANKOG	1	706	92	subject-2.csv	PRIDEVI_B	93.3333333333
1	1	45	rec	DNEVNOG	1	475	14	subject-2.csv	PRIDEVI_B	93.4782608696
1	3	46	pseudorec	KUDNOG	3	729	130	subject-2.csv	PRIDEVI_B	93.6170212766
1	1	47	rec	KULTURNOM	1	557	30	subject-2.csv	PRIDEVI_B	93.75
1	1	48	rec	MIRISNOG	1	556	38	subject-2.csv	PRIDEVI_B	93.8775510204
1	1	49	rec	NEČUJNOJ	1	548	46	subject-2.csv	PRIDEVI_B	94
1	1	50	rec	KRATKOJ	1	576	28	subject-2.csv	PRIDEVI_B	94.1176470588
1	1	51	rec	NAUČNOG	1	441	44	subject-2.csv	PRIDEVI_B	94.2307692308
1	3	52	pseudorec	NUSIVOG	3	727	138	subject-2.csv	PRIDEVI_B	94.3396226415
1	3	53	pseudorec	KUJANOG	3	637	127	subject-2.csv	PRIDEVI_B	94.4444444444
1	3	54	pseudorec	ČILKOM	3	667	155	subject-2.csv	PRIDEVI_B	94.5454545455
1	1	55	rec	LJUDSKOJ	1	579	34	subject-2.csv	PRIDEVI_B	94.6428571429
1	3	56	pseudorec	TORNOG	3	498	141	subject-2.csv	PRIDEVI_B	94.7368421053
1	1	57	rec	KONAČNOG	1	532	26	subject-2.csv	PRIDEVI_B	94.8275862069
1	1	58	rec	JUŽNOJ	1	500	25	subject-2.csv	PRIDEVI_B	94.9152542373
1	3	59	pseudorec	DUMAVOG	3	777	109	subject-2.csv	PRIDEVI_B	95
1	3	60	pseudorec	PIKANOG	3	832	125	subject-2.csv	PRIDEVI_B	95.0819672131
1	3	61	pseudorec	HURNOM	3	594	175	subject-2.csv	PRIDEVI_B	95.1612903226
1	1	62	rec	OBIČNOJ	1	570	55	subject-2.csv	PRIDEVI_B	95.2380952381
1	3	63	pseudorec	LJITKOM	3	594	173	subject-2.csv	PRIDEVI_B	95.3125
1	3	64	pseudorec	RELENOG	3	537	136	subject-2.csv	PRIDEVI_B	95.3846153846
1	3	65	pseudorec	PANANOM	3	593	146	subject-2.csv	PRIDEVI_B	95.4545454545
1	1	66	rec	LIČNOM	1	433	33	subject-2.csv	PRIDEVI_B	95.5223880597
1	3	67	pseudorec	LURIVOG	3	492	116	subject-2.csv	PRIDEVI_B	95.5882352941
1	3	68	pseudorec	GLOMNOM	3	663	154	subject-2.csv	PRIDEVI_B	95.652173913
1	1	69	rec	MUZIČKOJ	1	586	43	subject-2.csv	PRIDEVI_B	95.7142857143
0	1	70	rec	MASOVNOM	3	759	36	subject-2.csv	PRIDEVI_B	94.3661971831
1	1	71	rec	ŽALOSNOG	1	615	101	subject-2.csv	PRIDEVI_B	94.4444444444
1	3	72	pseudorec	ROTANOG	3	565	122	subject-2.csv	PRIDEVI_B	94.5205479452
1	1	73	rec	NEŽNOM	1	504	51	subject-2.csv	PRIDEVI_B	94.5945945946
1	1	74	rec	EKONOMSKOG	1	468	17	subject-2.csv	PRIDEVI_B	94.6666666667
1	3	75	pseudorec	FLAKOJ	3	553	192	subject-2.csv	PRIDEVI_B	94.7368421053
1	3	76	pseudorec	LANKOJ	3	570	200	subject-2.csv	PRIDEVI_B	94.8051948052
1	3	77	pseudorec	LOTIVOM	3	605	144	subject-2.csv	PRIDEVI_B	94.8717948718
1	1	78	rec	ČELIČNOJ	1	620	7	subject-2.csv	PRIDEVI_B	94.9367088608
1	1	79	rec	VRELOJ	1	634	100	subject-2.csv	PRIDEVI_B	95
1	3	80	pseudorec	MILATOG	3	668	131	subject-2.csv	PRIDEVI_B	95.0617283951
1	1	81	rec	STRUČNOM	1	499	87	subject-2.csv	PRIDEVI_B	95.1219512195
1	3	82	pseudorec	MRGAVOM	3	538	163	subject-2.csv	PRIDEVI_B	95.1807228916
1	3	83	pseudorec	VEDNOJ	3	671	185	subject-2.csv	PRIDEVI_B	95.2380952381
1	3	84	pseudorec	BLETANOJ	3	643	212	subject-2.csv	PRIDEVI_B	95.2941176471
1	1	85	rec	NISKOG	1	734	53	subject-2.csv	PRIDEVI_B	95.3488372093
1	3	86	pseudorec	HAČNOJ	3	626	182	subject-2.csv	PRIDEVI_B	95.4022988506
